"Treatment";"Pollutant";"Sample";"CAT";"GST";"LPO";"Concentration";"GlassID";"treatment"
"MP-P. 0.5 Vol.-%";"MP_particles";"21";13,97892373;71,59879408;60,4184414;"0.5";"2";"MP_particles__0.5"
"MP-P. 0.5 Vol.-%";"MP_particles";"22";8,058353795;34,89777234;41,05153943;"0.5";"2";"MP_particles__0.5"
"MP-P. 0.5 Vol.-%";"MP_particles";"23";8,893103509;51,45219461;24,72861389;"0.5";"2";"MP_particles__0.5"
"M. S. 0.5 Vol.-%";"mix";"31";8,231324477;23,65603754;59,88117392;"0.5";"3";"mix__0.5"
"M. S. 0.5 Vol.-%";"mix";"32";24,3919602;130,7159117;39,98247988;"0.5";"3";"mix__0.5"
"M. S. 0.5 Vol.-%";"mix";"33";8,483297582;13,19070076;60,81103683;"0.5";"3";"mix__0.5"
"MP-F. 0.5 Vol.-%";"MP_fibers";"41";8,310626584;9,235868075;51,63943073;"0.5";"4";"MP_fibers__0.5"
"MP-F. 0.5 Vol.-%";"MP_fibers";"42";12,16660849;37,36645528;69,13636889;"0.5";"4";"MP_fibers__0.5"
"MP-P. 0.5 Vol.-%";"MP_particles";"61";5,46712048;73,73567033;56,81975491;"0.5";"6";"MP_particles__0.5"
"MP-P. 0.5 Vol.-%";"MP_particles";"62";9,660927783;9,022142216;50,86600972;"0.5";"6";"MP_particles__0.5"
"B. A. 0.5 Vol.-%";"break_abrasion";"101";22,11984328;2,707973207;66,88092626;"0.5";"10";"break_abrasion__0.5"
"B. A. 0.5 Vol.-%";"break_abrasion";"102";10,60928883;32,49508329;45,82066359;"0.5";"10";"break_abrasion__0.5"
"MP-P. 0.5 Vol.-%";"MP_particles";"111";9,205654833;20,83699086;31,9572297;"0.5";"11";"MP_particles__0.5"
"MP-P. 0.5 Vol.-%";"MP_particles";"112";6,016579321;12,21511908;53,07771847;"0.5";"11";"MP_particles__0.5"
"MP-P. 0.5 Vol.-%";"MP_particles";"113";6,985088196;26,3492276;24,0345442;"0.5";"11";"MP_particles__0.5"
"B. A. 0.5 Vol.-%";"break_abrasion";"121";12,27749254;7,543381626;74,36444792;"0.5";"12";"break_abrasion__0.5"
"B. A. 0.5 Vol.-%";"break_abrasion";"122";8,588190528;38,60694276;33,63078508;"0.5";"12";"break_abrasion__0.5"
"B. A. 0.5 Vol.-%";"break_abrasion";"123";10,35876446;0,621558622;41,04068533;"0.5";"12";"break_abrasion__0.5"
