"treatment";"week";"GlassID";"weektreat";"weekGlassID";"weight"
"brake_abrasion__0.5";0;"10__brake_abrasion__0.5";"brake_abrasion__0.5__0";"0__10__brake_abrasion__0.5";0,349
"brake_abrasion__0.5";0;"12__brake_abrasion__0.5";"brake_abrasion__0.5__0";"0__12__brake_abrasion__0.5";0,275
"brake_abrasion__0.5";0;"28__brake_abrasion__0.5";"brake_abrasion__0.5__0";"0__28__brake_abrasion__0.5";0,305
"brake_abrasion__0.5";0;"31__brake_abrasion__0.5";"brake_abrasion__0.5__0";"0__31__brake_abrasion__0.5";0,303
"brake_abrasion__0.5";0;"37__brake_abrasion__0.5";"brake_abrasion__0.5__0";"0__37__brake_abrasion__0.5";0,38
"brake_abrasion__0.5";0;"47__brake_abrasion__0.5";"brake_abrasion__0.5__0";"0__47__brake_abrasion__0.5";0,331
"brake_abrasion__0.5";0;"52__brake_abrasion__0.5";"brake_abrasion__0.5__0";"0__52__brake_abrasion__0.5";0,312
"brake_abrasion__0.5";0;"60__brake_abrasion__0.5";"brake_abrasion__0.5__0";"0__60__brake_abrasion__0.5";0,282
"brake_abrasion__2";0;"21__brake_abrasion__2";"brake_abrasion__2__0";"0__21__brake_abrasion__2";0,331
"brake_abrasion__2";0;"39__brake_abrasion__2";"brake_abrasion__2__0";"0__39__brake_abrasion__2";0,276
"brake_abrasion__2";0;"42__brake_abrasion__2";"brake_abrasion__2__0";"0__42__brake_abrasion__2";0,386
"brake_abrasion__2";0;"45__brake_abrasion__2";"brake_abrasion__2__0";"0__45__brake_abrasion__2";0,305
"brake_abrasion__2";0;"54__brake_abrasion__2";"brake_abrasion__2__0";"0__54__brake_abrasion__2";0,285
"brake_abrasion__2";0;"59__brake_abrasion__2";"brake_abrasion__2__0";"0__59__brake_abrasion__2";0,293
"brake_abrasion__2";0;"69__brake_abrasion__2";"brake_abrasion__2__0";"0__69__brake_abrasion__2";0,307
"brake_abrasion__2";0;"72__brake_abrasion__2";"brake_abrasion__2__0";"0__72__brake_abrasion__2";0,374
"exhaust_particles__0.5";0;"5__exhaust_particles__0.5";"exhaust_particles__0.5__0";"0__5__exhaust_particles__0.5";0,262
"exhaust_particles__0.5";0;"9__exhaust_particles__0.5";"exhaust_particles__0.5__0";"0__9__exhaust_particles__0.5";0,347
"exhaust_particles__0.5";0;"18__exhaust_particles__0.5";"exhaust_particles__0.5__0";"0__18__exhaust_particles__0.5";0,252
"exhaust_particles__0.5";0;"22__exhaust_particles__0.5";"exhaust_particles__0.5__0";"0__22__exhaust_particles__0.5";0,303
"exhaust_particles__0.5";0;"24__exhaust_particles__0.5";"exhaust_particles__0.5__0";"0__24__exhaust_particles__0.5";0,292
"exhaust_particles__0.5";0;"50__exhaust_particles__0.5";"exhaust_particles__0.5__0";"0__50__exhaust_particles__0.5";0,274
"exhaust_particles__0.5";0;"55__exhaust_particles__0.5";"exhaust_particles__0.5__0";"0__55__exhaust_particles__0.5";0,273
"exhaust_particles__0.5";0;"65__exhaust_particles__0.5";"exhaust_particles__0.5__0";"0__65__exhaust_particles__0.5";0,322
"exhaust_particles__2";0;"7__exhaust_particles__2";"exhaust_particles__2__0";"0__7__exhaust_particles__2";0,276
"exhaust_particles__2";0;"17__exhaust_particles__2";"exhaust_particles__2__0";"0__17__exhaust_particles__2";0,321
"exhaust_particles__2";0;"19__exhaust_particles__2";"exhaust_particles__2__0";"0__19__exhaust_particles__2";0,253
"exhaust_particles__2";0;"27__exhaust_particles__2";"exhaust_particles__2__0";"0__27__exhaust_particles__2";0,386
"exhaust_particles__2";0;"46__exhaust_particles__2";"exhaust_particles__2__0";"0__46__exhaust_particles__2";0,292
"exhaust_particles__2";0;"58__exhaust_particles__2";"exhaust_particles__2__0";"0__58__exhaust_particles__2";0,319
"exhaust_particles__2";0;"64__exhaust_particles__2";"exhaust_particles__2__0";"0__64__exhaust_particles__2";0,288
