"weekGlassID";"mean";"sd";"week";"Nr";"pollutant";"concentration";"treatment";"GlassID"
"0__1__mix__8";0,294666666666667;0,0665992992956132;"0";"1";"mix";"8";"mix__8";"mix__8__1"
"0__10__brake_abrasion__0.5";0,289666666666667;0,0698703561366812;"0";"10";"brake_abrasion";"0.5";"brake_abrasion__0.5";"brake_abrasion__0.5__10"
"0__101__MP_particles__2";0,298;0,0632297398381489;"0";"101";"MP_particles";"2";"MP_particles__2";"MP_particles__2__101"
"0__105__MP_particles__2";0,3195;0,0629086639502064;"0";"105";"MP_particles";"2";"MP_particles__2";"MP_particles__2__105"
"0__109__MP_fibers__2";0,322666666666667;0,0447019760935316;"0";"109";"MP_fibers";"2";"MP_fibers__2";"MP_fibers__2__109"
"0__11__MP_particles__0.5";0,282666666666667;0,045889722887229;"0";"11";"MP_particles";"0.5";"MP_particles__0.5";"MP_particles__0.5__11"
"0__112__MP_particles__2";0,327166666666667;0,0536709108052646;"0";"112";"MP_particles";"2";"MP_particles__2";"MP_particles__2__112"
"0__12__brake_abrasion__0.5";0,272166666666667;0,0620980407635109;"0";"12";"brake_abrasion";"0.5";"brake_abrasion__0.5";"brake_abrasion__0.5__12"
"0__128__MP_fibers__2";0,264833333333333;0,021113187032437;"0";"128";"MP_fibers";"2";"MP_fibers__2";"MP_fibers__2__128"
"0__13__mix__8";0,285166666666667;0,0561120902004788;"0";"13";"mix";"8";"mix__8";"mix__8__13"
"0__13__MP_fibers__2";0,3245;0,0597821043456986;"0";"13";"MP_fibers";"2";"MP_fibers__2";"MP_fibers__2__13"
"0__14__MP_particles__0.5";0,2585;0,0484179718699576;"0";"14";"MP_particles";"0.5";"MP_particles__0.5";"MP_particles__0.5__14"
"0__15__mix__0.5";0,2955;0,0782451276438348;"0";"15";"mix";"0.5";"mix__0.5";"mix__0.5__15"
"0__16__MP_particles__0.5";0,2695;0,0541433283055263;"0";"16";"MP_particles";"0.5";"MP_particles__0.5";"MP_particles__0.5__16"
"0__17__exhaust_particles__2";0,264833333333333;0,0627293126589688;"0";"17";"exhaust_particles";"2";"exhaust_particles__2";"exhaust_particles__2__17"
"0__18__exhaust_particles__0.5";0,2745;0,0576151021868399;"0";"18";"exhaust_particles";"0.5";"exhaust_particles__0.5";"exhaust_particles__0.5__18"
"0__19__exhaust_particles__2";0,2625;0,0571410535429651;"0";"19";"exhaust_particles";"2";"exhaust_particles__2";"exhaust_particles__2__19"
"0__2__MP_particles__0.5";0,265333333333333;0,0485866922795395;"0";"2";"MP_particles";"0.5";"MP_particles__0.5";"MP_particles__0.5__2"
"0__20__MP_particles__0.5";0,2825;0,0409817032344923;"0";"20";"MP_particles";"0.5";"MP_particles__0.5";"MP_particles__0.5__20"
"0__20__MP_particles__2";0,272833333333333;0,0490323022778522;"0";"20";"MP_particles";"2";"MP_particles__2";"MP_particles__2__20"
"0__21__brake_abrasion__2";0,2995;0,0598289227715158;"0";"21";"brake_abrasion";"2";"brake_abrasion__2";"brake_abrasion__2__21"
"0__22__exhaust_particles__0.5";0,277833333333333;0,0615448346058925;"0";"22";"exhaust_particles";"0.5";"exhaust_particles__0.5";"exhaust_particles__0.5__22"
"0__23__mix__2";0,302;0,0669925368977769;"0";"23";"mix";"2";"mix__2";"mix__2__23"
"0__24__control__0";0,318833333333333;0,0459887667443547;"0";"24";"control";"0";"control__0";"control__0__24"
"0__24__exhaust_particles__0.5";0,3005;0,0526146367468217;"0";"24";"exhaust_particles";"0.5";"exhaust_particles__0.5";"exhaust_particles__0.5__24"
"0__25__MP_fibers__0.5";0,28;0,045325489517489;"0";"25";"MP_fibers";"0.5";"MP_fibers__0.5";"MP_fibers__0.5__25"
"0__26__mix__2";0,266333333333333;0,0322903494354996;"0";"26";"mix";"2";"mix__2";"mix__2__26"
"0__26__MP_particles__2";0,296;0,0529036860719553;"0";"26";"MP_particles";"2";"MP_particles__2";"MP_particles__2__26"
"0__27__exhaust_particles__2";0,279833333333333;0,0619335665585849;"0";"27";"exhaust_particles";"2";"exhaust_particles__2";"exhaust_particles__2__27"
"0__28__brake_abrasion__0.5";0,258166666666667;0,0481265692384847;"0";"28";"brake_abrasion";"0.5";"brake_abrasion__0.5";"brake_abrasion__0.5__28"
"0__29__mix__8";0,2735;0,0643638097070085;"0";"29";"mix";"8";"mix__8";"mix__8__29"
"0__3__mix__0.5";0,298833333333333;0,0534169136759759;"0";"3";"mix";"0.5";"mix__0.5";"mix__0.5__3"
"0__3__MP_fibers__2";0,321833333333333;0,0598010590764634;"0";"3";"MP_fibers";"2";"MP_fibers__2";"MP_fibers__2__3"
"0__30__mix__0.5";0,2895;0,062234234951512;"0";"30";"mix";"0.5";"mix__0.5";"mix__0.5__30"
"0__31__brake_abrasion__0.5";0,266666666666667;0,0565143049737557;"0";"31";"brake_abrasion";"0.5";"brake_abrasion__0.5";"brake_abrasion__0.5__31"
"0__32__mix__2";0,298166666666667;0,0734232025089254;"0";"32";"mix";"2";"mix__2";"mix__2__32"
"0__33__control__0";0,293;0,0492909728043584;"0";"33";"control";"0";"control__0";"control__0__33"
"0__33__mix__2";0,311166666666667;0,072628965755177;"0";"33";"mix";"2";"mix__2";"mix__2__33"
"0__34__control__0";0,276666666666667;0,0598052394583172;"0";"34";"control";"0";"control__0";"control__0__34"
"0__34__MP_particles__0.5";0,251666666666667;0,0547600827854256;"0";"34";"MP_particles";"0.5";"MP_particles__0.5";"MP_particles__0.5__34"
"0__35__MP_fibers__0.5";0,255;0,0325699247773156;"0";"35";"MP_fibers";"0.5";"MP_fibers__0.5";"MP_fibers__0.5__35"
"0__35__MP_particles__2";0,288166666666667;0,0543412059736133;"0";"35";"MP_particles";"2";"MP_particles__2";"MP_particles__2__35"
"0__36__mix__2";0,280166666666667;0,0507047006367917;"0";"36";"mix";"2";"mix__2";"mix__2__36"
"0__37__brake_abrasion__0.5";0,287833333333333;0,077103609945752;"0";"37";"brake_abrasion";"0.5";"brake_abrasion__0.5";"brake_abrasion__0.5__37"
"0__38__MP_fibers__0.5";0,260833333333333;0,0399220072975629;"0";"38";"MP_fibers";"0.5";"MP_fibers__0.5";"MP_fibers__0.5__38"
"0__38__MP_fibers__2";0,313666666666667;0,0320603597401318;"0";"38";"MP_fibers";"2";"MP_fibers__2";"MP_fibers__2__38"
"0__39__brake_abrasion__2";0,272333333333333;0,0522557811793745;"0";"39";"brake_abrasion";"2";"brake_abrasion__2";"brake_abrasion__2__39"
"0__4__MP_fibers__0.5";0,260833333333333;0,0548613403652031;"0";"4";"MP_fibers";"0.5";"MP_fibers__0.5";"MP_fibers__0.5__4"
"0__40__mix__2";0,283166666666667;0,0590607032354565;"0";"40";"mix";"2";"mix__2";"mix__2__40"
"0__40__MP_fibers__2";0,324833333333333;0,0606676739843112;"0";"40";"MP_fibers";"2";"MP_fibers__2";"MP_fibers__2__40"
"0__41__mix__0.5";0,2715;0,0557090656895267;"0";"41";"mix";"0.5";"mix__0.5";"mix__0.5__41"
"0__42__brake_abrasion__2";0,280166666666667;0,0742008535440575;"0";"42";"brake_abrasion";"2";"brake_abrasion__2";"brake_abrasion__2__42"
"0__43__MP_fibers__0.5";0,2595;0,0371954298267946;"0";"43";"MP_fibers";"0.5";"MP_fibers__0.5";"MP_fibers__0.5__43"
"0__44__mix__0.5";0,278166666666667;0,0657979229662052;"0";"44";"mix";"0.5";"mix__0.5";"mix__0.5__44"
"0__45__brake_abrasion__2";0,3125;0,0412637855752475;"0";"45";"brake_abrasion";"2";"brake_abrasion__2";"brake_abrasion__2__45"
"0__46__exhaust_particles__2";0,254166666666667;0,0495476201917576;"0";"46";"exhaust_particles";"2";"exhaust_particles__2";"exhaust_particles__2__46"
"0__47__brake_abrasion__0.5";0,255;0,049116188777225;"0";"47";"brake_abrasion";"0.5";"brake_abrasion__0.5";"brake_abrasion__0.5__47"
"0__48__mix__0.5";0,282;0,0623698645180507;"0";"48";"mix";"0.5";"mix__0.5";"mix__0.5__48"
"0__49__MP_fibers__0.5";0,261333333333333;0,0342442209236342;"0";"49";"MP_fibers";"0.5";"MP_fibers__0.5";"MP_fibers__0.5__49"
"0__49__MP_particles__2";0,3035;0,0599191121429549;"0";"49";"MP_particles";"2";"MP_particles__2";"MP_particles__2__49"
"0__5__exhaust_particles__0.5";0,268833333333333;0,0565876900630046;"0";"5";"exhaust_particles";"0.5";"exhaust_particles__0.5";"exhaust_particles__0.5__5"
"0__50__exhaust_particles__0.5";0,257166666666667;0,046623670669164;"0";"50";"exhaust_particles";"0.5";"exhaust_particles__0.5";"exhaust_particles__0.5__50"
"0__51__MP_fibers__0.5";0,279;0,0476235235991626;"0";"51";"MP_fibers";"0.5";"MP_fibers__0.5";"MP_fibers__0.5__51"
"0__52__brake_abrasion__0.5";0,277666666666667;0,0454913911269667;"0";"52";"brake_abrasion";"0.5";"brake_abrasion__0.5";"brake_abrasion__0.5__52"
"0__53__mix__0.5";0,2815;0,0650960828314577;"0";"53";"mix";"0.5";"mix__0.5";"mix__0.5__53"
"0__54__brake_abrasion__2";0,2805;0,0326481239889829;"0";"54";"brake_abrasion";"2";"brake_abrasion__2";"brake_abrasion__2__54"
"0__55__exhaust_particles__0.5";0,299833333333333;0,0696775908500478;"0";"55";"exhaust_particles";"0.5";"exhaust_particles__0.5";"exhaust_particles__0.5__55"
"0__56__mix__8";0,270666666666667;0,0547673868891576;"0";"56";"mix";"8";"mix__8";"mix__8__56"
"0__56__MP_fibers__2";0,311;0,072567210226107;"0";"56";"MP_fibers";"2";"MP_fibers__2";"MP_fibers__2__56"
"0__57__mix__8";0,277;0,0617996763745572;"0";"57";"mix";"8";"mix__8";"mix__8__57"
"0__58__exhaust_particles__2";0,297833333333333;0,0789187345733994;"0";"58";"exhaust_particles";"2";"exhaust_particles__2";"exhaust_particles__2__58"
"0__59__brake_abrasion__2";0,263;0,0483280456877784;"0";"59";"brake_abrasion";"2";"brake_abrasion__2";"brake_abrasion__2__59"
"0__6__MP_particles__0.5";0,2635;0,0498507773259354;"0";"6";"MP_particles";"0.5";"MP_particles__0.5";"MP_particles__0.5__6"
"0__60__brake_abrasion__0.5";0,2715;0,053361971477823;"0";"60";"brake_abrasion";"0.5";"brake_abrasion__0.5";"brake_abrasion__0.5__60"
"0__61__mix__2";0,294666666666667;0,0617079141331699;"0";"61";"mix";"2";"mix__2";"mix__2__61"
"0__62__mix__0.5";0,299;0,0494327826447187;"0";"62";"mix";"0.5";"mix__0.5";"mix__0.5__62"
"0__63__MP_particles__0.5";0,248;0,0324961536185438;"0";"63";"MP_particles";"0.5";"MP_particles__0.5";"MP_particles__0.5__63"
"0__64__control__0";0,309;0,0552774818529209;"0";"64";"control";"0";"control__0";"control__0__64"
"0__64__exhaust_particles__2";0,257833333333333;0,0484743918648462;"0";"64";"exhaust_particles";"2";"exhaust_particles__2";"exhaust_particles__2__64"
"0__65__exhaust_particles__0.5";0,282333333333333;0,0713348909487263;"0";"65";"exhaust_particles";"0.5";"exhaust_particles__0.5";"exhaust_particles__0.5__65"
"0__66__MP_fibers__0.5";0,258666666666667;0,0382395955348205;"0";"66";"MP_fibers";"0.5";"MP_fibers__0.5";"MP_fibers__0.5__66"
"0__67__exhaust_particles__2";0,265833333333333;0,0530411789713112;"0";"67";"exhaust_particles";"2";"exhaust_particles__2";"exhaust_particles__2__67"
"0__68__mix__2";0,285333333333333;0,0493747573833702;"0";"68";"mix";"2";"mix__2";"mix__2__68"
"0__69__brake_abrasion__2";0,282166666666667;0,0374134556899876;"0";"69";"brake_abrasion";"2";"brake_abrasion__2";"brake_abrasion__2__69"
"0__7__exhaust_particles__2";0,267666666666667;0,0500146645161863;"0";"7";"exhaust_particles";"2";"exhaust_particles__2";"exhaust_particles__2__7"
"0__70__mix__8";0,2755;0,0523402330908069;"0";"70";"mix";"8";"mix__8";"mix__8__70"
